[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:44] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:45] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:46] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:47] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Mode changed to: Depth Estimation
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:48] Speech error: run loop already started
[2025-05-30 16:22:49] Speech error: run loop already started
[2025-05-30 16:22:49] Speech error: run loop already started
[2025-05-30 16:22:51] Speech error: run loop already started
[2025-05-30 16:22:51] Mode changed to: Environment Description
[2025-05-30 16:22:51] Speech error: run loop already started
[2025-05-30 16:22:52] Speech error: run loop already started
[2025-05-30 16:22:52] Speech error: run loop already started
[2025-05-30 16:22:52] Speech error: run loop already started
[2025-05-30 16:22:52] Speech error: run loop already started
[2025-05-30 16:22:52] Speech error: run loop already started
[2025-05-30 16:22:53] Speech error: run loop already started
[2025-05-30 16:22:53] Speech error: run loop already started
[2025-05-30 16:22:53] Speech error: run loop already started
[2025-05-30 16:22:53] Speech error: run loop already started
[2025-05-30 16:22:53] Speech error: run loop already started
[2025-05-30 16:22:54] Speech error: run loop already started
[2025-05-30 16:22:54] Speech error: run loop already started
[2025-05-30 16:22:54] Speech error: run loop already started
[2025-05-30 16:22:54] Speech error: run loop already started
[2025-05-30 16:22:55] Speech error: run loop already started
[2025-05-30 16:22:55] Speech error: run loop already started
[2025-05-30 16:22:55] Speech error: run loop already started
[2025-05-30 16:22:55] Speech error: run loop already started
[2025-05-30 16:22:56] Speech error: run loop already started
[2025-05-30 16:22:56] Speech error: run loop already started
[2025-05-30 16:22:56] Speech error: run loop already started
[2025-05-30 16:22:56] Speech error: run loop already started
[2025-05-30 16:22:57] Speech error: run loop already started
[2025-05-30 16:22:57] Speech error: run loop already started
[2025-05-30 16:22:57] Speech error: run loop already started
[2025-05-30 16:22:57] Speech error: run loop already started
[2025-05-30 16:22:58] Speech error: run loop already started
[2025-05-30 16:22:58] Speech error: run loop already started
[2025-05-30 16:22:59] Speech error: run loop already started
[2025-05-30 16:22:59] Speech error: run loop already started
[2025-05-30 16:22:59] Speech error: run loop already started
[2025-05-30 16:22:59] Speech error: run loop already started
[2025-05-30 16:22:59] Speech error: run loop already started
[2025-05-30 16:23:00] Speech error: run loop already started
[2025-05-30 16:23:00] Speech error: run loop already started
[2025-05-30 16:23:01] Speech error: run loop already started
[2025-05-30 16:23:01] Speech error: run loop already started
[2025-05-30 16:23:02] Speech error: run loop already started
[2025-05-30 16:23:02] Speech error: run loop already started
[2025-05-30 16:23:03] Speech error: run loop already started
[2025-05-30 16:23:03] Speech error: run loop already started
[2025-05-30 16:23:03] Speech error: run loop already started
[2025-05-30 16:23:03] Speech error: run loop already started
[2025-05-30 16:23:04] Speech error: run loop already started
[2025-05-30 16:23:04] Speech error: run loop already started
[2025-05-30 16:23:04] Speech error: run loop already started
[2025-05-30 16:23:05] Speech error: run loop already started
[2025-05-30 16:23:05] Speech error: run loop already started
[2025-05-30 16:23:05] Speech error: run loop already started
[2025-05-30 16:23:05] Speech error: run loop already started
[2025-05-30 16:23:06] Speech error: run loop already started
[2025-05-30 16:23:06] Speech error: run loop already started
[2025-05-30 16:23:06] Speech error: run loop already started
[2025-05-30 16:23:06] Speech error: run loop already started
[2025-05-30 16:23:06] Speech error: run loop already started
[2025-05-30 16:23:06] Speech error: run loop already started
[2025-05-30 16:23:07] Speech error: run loop already started
[2025-05-30 16:23:07] Speech error: run loop already started
[2025-05-30 16:23:07] Speech error: run loop already started
[2025-05-30 16:23:08] Speech error: run loop already started
[2025-05-30 16:23:09] Speech error: run loop already started
[2025-05-30 16:23:10] Speech error: run loop already started
[2025-05-30 16:23:10] Speech error: run loop already started
[2025-05-30 16:23:11] Speech error: run loop already started
[2025-05-30 16:23:11] Speech error: run loop already started
[2025-05-30 16:23:11] Speech error: run loop already started
[2025-05-30 16:23:12] Speech error: run loop already started
[2025-05-30 16:23:13] Speech error: run loop already started
[2025-05-30 16:23:15] Speech error: run loop already started
[2025-05-30 16:23:16] Speech error: run loop already started
[2025-05-30 16:23:16] Speech error: run loop already started
[2025-05-30 16:23:16] Speech error: run loop already started
[2025-05-30 16:23:17] Speech error: run loop already started
[2025-05-30 16:23:17] Speech error: run loop already started
[2025-05-30 16:23:18] Speech error: run loop already started
[2025-05-30 16:23:18] Mode changed to: Navigation Assistant
[2025-05-30 16:23:18] Speech error: run loop already started
[2025-05-30 16:23:23] Speech error: run loop already started
[2025-05-30 16:23:54] Camera stopped
[2025-05-30 16:23:55] Application cleanup completed
[2025-05-30 16:24:17] Vision Assistant started by mmprateek1 at 2025-05-30 16:24:17
[2025-05-30 16:24:19] Text-to-speech initialized successfully
[2025-05-30 16:24:19] Voice recognition initialized successfully
[2025-05-30 16:24:27] Camera started
[2025-05-30 16:24:31] Mode changed to: Navigation Assistant
[2025-05-30 16:24:43] Camera stopped
[2025-05-30 16:24:44] Application cleanup completed
[2025-05-30 16:26:05] Vision Assistant started by mmprateek1 at 2025-05-30 16:26:05
[2025-05-30 16:26:08] Text-to-speech initialized successfully
[2025-05-30 16:26:08] Voice recognition initialized successfully
[2025-05-30 16:26:21] Camera started
[2025-05-30 16:26:29] Mode changed to: Navigation Assistant
[2025-05-30 16:26:45] Camera stopped
[2025-05-30 16:26:47] Application cleanup completed
[2025-05-30 16:45:55] Vision Assistant started by mmprateek1 at 2025-05-30 11:15:55
[2025-05-30 16:49:19] Vision Assistant started by mmprateek1 at 2025-05-30 11:19:19
[2025-05-30 16:54:59] Vision Assistant started by mmprateek1 at 2025-05-30 11:24:59
[2025-05-30 16:55:02] Text-to-speech initialized successfully
[2025-05-30 16:55:02] Voice recognition initialized successfully
[2025-05-30 16:55:04] Microphone check successful
[2025-05-30 16:55:10] Camera stopped
[2025-05-30 16:55:11] Voice command error: listening timed out while waiting for phrase to start
[2025-05-30 16:55:21] Camera started
[2025-05-30 16:55:21] Mode changed to: Navigation Assistant
[2025-05-30 16:55:22] Speech error: run loop already started
[2025-05-30 16:56:03] Mode changed to: Object Detection
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:04] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:05] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:06] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:07] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:08] Speech error: run loop already started
[2025-05-30 16:56:09] Speech error: run loop already started
[2025-05-30 16:56:09] Speech error: run loop already started
[2025-05-30 16:56:09] Speech error: run loop already started
